rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
266,Cindyhui22,0.79 +/- 0.03,0.28 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-10 23:17:38+00:00,
267,paulo,0.79 +/- 0.03,0.26 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-01 23:01:43+00:00,
268,HungryCapybara,0.79 +/- 0.04,0.20 +/- 0.07,0.60 +/- 0.03,0.43 +/- 0.02,2026-01-02 22:40:47+00:00,
269,admetchallenger,0.79 +/- 0.03,0.23 +/- 0.05,0.57 +/- 0.03,0.41 +/- 0.02,2025-11-14 00:46:45+00:00,
270,ceklarzj,0.79 +/- 0.03,0.21 +/- 0.06,0.62 +/- 0.03,0.46 +/- 0.02,2026-01-13 10:10:18+00:00,
271,maxime1310,0.79 +/- 0.03,0.29 +/- 0.04,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-30 22:49:02+00:00,
272,mmahmed,0.80 +/- 0.03,0.29 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-12-12 15:53:12+00:00,
273,:(,0.80 +/- 0.03,0.23 +/- 0.05,0.61 +/- 0.03,0.45 +/- 0.02,2026-01-18 10:26:39+00:00,
274,AFP_FF_1_ensemble,0.80 +/- 0.03,0.26 +/- 0.05,0.59 +/- 0.03,0.43 +/- 0.02,2025-11-11 20:24:08+00:00,
275,SunKnowledge,0.80 +/- 0.03,0.27 +/- 0.05,0.56 +/- 0.03,0.41 +/- 0.03,2025-12-30 15:22:48+00:00,
276,Suryavedha9,0.80 +/- 0.03,0.27 +/- 0.05,0.56 +/- 0.03,0.41 +/- 0.03,2025-12-30 15:29:46+00:00,
277,rymsnyde,0.80 +/- 0.03,0.23 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-19 04:37:37+00:00,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
278,maxime1,0.80 +/- 0.03,0.27 +/- 0.04,0.58 +/- 0.03,0.42 +/- 0.02,2025-11-25 22:50:20+00:00,
279,malteny,0.80 +/- 0.03,0.17 +/- 0.06,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-02 15:18:06+00:00,
280,eightmm,0.80 +/- 0.03,0.22 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-11 03:50:28+00:00,
281,elli3tiu,0.80 +/- 0.03,0.21 +/- 0.06,0.63 +/- 0.03,0.47 +/- 0.02,2025-12-16 13:09:55+00:00,
282,jahy,0.81 +/- 0.03,0.26 +/- 0.05,0.61 +/- 0.03,0.44 +/- 0.02,2026-01-17 09:52:20+00:00,
283,bolt,0.81 +/- 0.03,0.21 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2026-01-19 12:21:09+00:00,
284,boltzmann4,0.81 +/- 0.03,0.26 +/- 0.05,0.67 +/- 0.03,0.50 +/- 0.02,2026-01-19 16:36:58+00:00,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
285,Tomato,0.81 +/- 0.03,0.22 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-14 07:37:29+00:00,
286,srajall,0.82 +/- 0.03,0.23 +/- 0.05,0.61 +/- 0.03,0.45 +/- 0.02,2025-12-21 12:57:40+00:00,
287,AStaniszewski,0.82 +/- 0.03,0.20 +/- 0.05,0.59 +/- 0.03,0.42 +/- 0.02,2025-11-03 16:23:41+00:00,
288,oku06,0.82 +/- 0.03,0.17 +/- 0.05,0.57 +/- 0.03,0.41 +/- 0.03,2026-01-18 12:46:16+00:00,
289,snowtester,0.82 +/- 0.03,0.21 +/- 0.05,0.58 +/- 0.03,0.41 +/- 0.02,2025-11-11 17:15:46+00:00,
290,lherman,0.82 +/- 0.04,0.14 +/- 0.06,0.61 +/- 0.03,0.45 +/- 0.02,2025-11-11 23:02:31+00:00,
291,ChemTechBaron,0.83 +/- 0.04,0.14 +/- 0.06,0.62 +/- 0.03,0.45 +/- 0.02,2025-12-23 09:14:35+00:00,
